211,0.0079,25
352.9,0.0089,25.8
479.8,0.0119,25.6
499.7,0.0112,25.8
602.5,0.0126,25.6
787.2,0.0137,25.7
836.7,0.0244,25.6
907.7,0.0371,25.6
995.3,0.0336,25.6
1071,0.0339,25.6
1125,0.0418,25.5
1201,0.0463,25.4
1276,0.047,25.4
2150,0.0926,25.4
3222,0.1188,25.3
4190,0.1376,25.2
4900,0.16,25
5393,0.1718,25
5758.7,0.1719,25
6241.7,0.1725,24.9
7590,0.1876,24.8
8250,0.191,24.8
9709,0.1901,24.8
10520,0.193,24.8
21605,0.2041,24.8
22873,0.2043,24.8
48847,0.2064,24.8
69138,0.2056,24.8
75922,0.2063,24.8
98021,0.2043,25
112203,0.2035,25
122004,0.2026,25
137913,0.1888,27.2
385021,0.1807,29.6
554931,0.1673,0
660221,0.1537,0
720019,0.1487,0
751342,0.148,0
767953,0.1415,0
806232,0.148,0
951112,0.1126,0
1000123,0.1006,0
